,Pos1_Relative@RevJoint1,Pos1_Relative@RevJoint2,Vel1_Relative@RevJoint1,Vel1_Relative@RevJoint2,Acc1_Relative@RevJoint1,Acc1_Relative@RevJoint2
0,60.000004042083276,-1.5837787401551395e-06,2.02576934782428e-07,-1.2220072740376509e-06,-83.44702407344371,83.02747966239929
1,59.76115253560209,0.2375796165056272,-0.8329839645527599,0.8283658250663279,-83.05708908762188,82.52652128506895
2,59.04734309156322,0.9468273149148274,-1.656557026880085,1.6445956619696602,-81.96692831324906,81.11791497097607
3,57.86728009452247,2.1164292988238316,-2.459991378769695,2.4346107929130802,-80.00771593387515,78.56206199786544
4,56.236825089272514,3.725583299680949,-3.2302521450851565,3.1809241177947527,-77.0218466627732,74.62361873402
5,54.186064102248196,5.734317300863623,-3.946316827382624,3.854951378305433,-73.41155491257697,69.80965489485857
6,51.7454225510254,8.101727594767809,-4.599948713052154,4.444923307186244,-68.04599469969631,62.60141729242201
7,48.95530794556046,10.773231930972457,-5.174648030889928,4.928024990978479,-60.995272756959196,53.07384121243115
8,45.86467246688747,13.682441143255474,-5.656437038880348,5.284956597503541,-52.45103357424318,41.48674419661165
9,42.52902653073454,16.754003692855832,-6.0356092378558515,5.5025653941557415,-42.76185801195771,28.336286936317663
10,39.00780351513529,19.907464353246567,-6.307639505486965,5.575292990020394,-32.38927666673513,14.293802776337856
11,35.361594720839506,23.06132902123106,-6.4729022740906474,5.50490551107216,-21.813959769562473,0.07223356424091776
12,31.649843507973202,26.13663482486332,-6.535422092301846,5.298840310026527,-11.439296152958576,-13.71368862663985
13,27.9293180359044,29.059299963534116,-6.501193070644498,4.967831508085013,-1.5311907934206772,-26.63845474247813
14,24.25345244514608,31.761451161493298,-6.376638839016795,4.52368761975038,7.793263608007436,-38.48912463160576
15,20.672336875263696,34.18149787332618,-6.167517990813673,3.977608827245234,16.53912707867204,-49.23494169999779
16,17.233266479956157,36.26366231593633,-5.878370817264438,3.3392131582732176,24.789496272349936,-58.971402744700924
17,13.981330370506285,37.957006552299376,-5.512397157870948,2.6161243899582622,32.661409945230474,-67.86299985632184
18,10.960130326432235,39.21433589942289,-5.071629645210981,1.8139671429390916,40.271647918201694,-76.09821355534734
19,8.212319828475955,39.99118478683543,-4.5572594371030934,0.936553305777668,47.71523944684208,-83.86024119615973
20,5.7799434497442235,40.24486033044637,-3.970021027644515,-0.013803987089755054,55.05430742552281,-91.31067626742185
21,3.704596569186691,39.93371676788759,-3.310597017327785,-1.035944489015936,62.31301914903224,-98.57952749178767
22,2.0272856223025286,39.0166607553376,-2.580093937477649,-2.129327323921146,69.4712208197522,-105.75199663181365
